"","blue_band_sf_mean","blue_band_sf_sd","green_band_sf_mean","green_band_sf_sd","red_band_sf_mean","red_band_sf_sd","nearinf_band_sf_mean","nearinf_sf_sd","shinf_band_sf_mean","shinf_sf_sd","shinf2_band_sf_mean","shinf2_sf_sd","bright_band_sf_mean","bright_sf_sd","npv","pv","bs"
"1856",0.0603555555555555,0.001867327925204,0.0778666666666667,0.00142594997574716,0.101255555555556,0.00369206690414612,0.225633333333333,0.00164991582276861,0.340555555555555,0.00567198007971583,0.202788888888889,0.0032881755983267,0.310266666666667,0.000188561808316413,0.49627669254159,0.466101244398767,0.04630794
"1857",0.0699666666666666,0.00273130005674953,0.100044444444444,0.00471713451416123,0.0998444444444444,0.00321078429709454,0.251011111111111,0.0139231577232916,0.314022222222222,0.00889603879110449,0.2017,0.00774367125105686,0.307777777777778,0.000198761597990726,0.175,0.805,0.02
"1858",0.0585888888888889,0.00173937692831817,0.0904777777777778,0.00297462519684898,0.0794666666666666,0.00395979797464467,0.280177777777778,0.0157395311082055,0.288355555555555,0.0103267840655164,0.162344444444444,0.00980148640780933,0.304755555555556,0.000294811092479156,0.09,0.895,0.015
"1859",0.0624333333333333,0.00333199973322661,0.102,0.0056917093702644,0.142533333333333,0.0070691819422995,0.204722222222222,0.00675816835438192,0.273722222222222,0.00827026504718039,0.197244444444444,0.0089155433698821,0.295611111111111,0.000207869854838475,0.62252437658954,0.0755817872340425,0.30595428
"1860",0.0664555555555555,0.00441162885290708,0.0976888888888889,0.00447870131088219,0.129544444444444,0.00735181173605996,0.177322222222222,0.00319644864664173,0.2784,0.0079386536781889,0.213966666666667,0.00211555088701632,0.293733333333333,0.000235702260395516,0.58048923914242,0.415618812928352,0.018326854
"1861",0.0368555555555556,0.001806230643025,0.0507444444444444,0.00240282755247091,0.0593888888888889,0.0038994143276607,0.171566666666667,0.00900074071026009,0.220933333333333,0.0137755822623462,0.1364,0.00959154720458476,0.289444444444444,4.96903995185064e-05,0.558047819867861,0.303447499816887,0.141774466
"1862",0.0405666666666667,0.00381080335654075,0.0545888888888889,0.0049144784835659,0.0643333333333333,0.00669427616201583,0.167866666666667,0.00687927644774103,0.237666666666667,0.0194547337855512,0.136544444444444,0.0186946879627528,0.2875,0,0.697253436783387,0.35635462108141,0.09296155
"1863",0.0411666666666667,0.00406283972938469,0.0578888888888889,0.00744124309275219,0.0693777777777778,0.00810264398244013,0.192477777777778,0.0309494490267877,0.247377777777778,0.00801925152752579,0.164577777777778,0.00943795855725143,0.291588888888889,0.000223330569374717,0.578172,0.412268,0.00956
"1864",0.0306444444444444,0.00317599017319748,0.0459333333333333,0.00480254562127675,0.0490777777777778,0.00540283418993685,0.1872,0.00740435307399941,0.192588888888889,0.0126550336444914,0.105233333333333,0.0103533140158652,0.297211111111111,0.000109994388218024,0.421619838722093,0.63036260423178,0.00945228
"1865",0.0522777777777778,0.00194180773609298,0.0721777777777778,0.00258404410771522,0.0886555555555555,0.00446793790643986,0.185122222222222,0.00106851691379322,0.288055555555556,0.0125040536637002,0.187866666666667,0.0107539140161462,0.304844444444444,0.000157134840269531,0.668856880840951,0.420617539222222,0.013752674
"1866",0.0723555555555555,0.00141822354538737,0.100511111111111,0.00270121143375998,0.129888888888889,0.00599025958340223,0.179777777777778,0.00585942313766238,0.3119,0.0051516987489565,0.2668,0.00474177650722221,0.312122222222222,0.000311903752163395,0.7455,0.007,0.2475
"1867",0.0657111111111111,0.00335408356234754,0.0966666666666667,0.00254121580700612,0.140211111111111,0.00483745673410317,0.230911111111111,0.00257787356143867,0.339933333333333,0.0112500864194212,0.242022222222222,0.0122439806324737,0.308211111111111,0.000207869854838475,0.665429431196172,0.161752879370409,0.18516564
"1868",0.0522888888888889,0.0030812856063102,0.0803666666666667,0.00438659574410752,0.117822222222222,0.00899923179163125,0.208722222222222,0.00810401516091816,0.300322222222222,0.0134537708698075,0.211577777777778,0.0164461260401467,0.306988888888889,0.000317785547702136,0.653842973972447,0.27343610747619,0.17302531
"1869",0.0657555555555555,0.0059703175257288,0.0931555555555555,0.00780357626150572,0.133177777777778,0.013746011767279,0.2195,0.0103592148994667,0.317422222222222,0.02754619464656,0.220288888888889,0.0246551975338284,0.308077777777778,0.000329234053106169,0.79528875,0.123767798466594,0.104
